,weight
cc,0.044151228
search,0.029731467
survey,0.027228367
world,0.024636842
would,0.021653859
these,0.021246275
more,0.021067629
add,0.018844787
discuss,0.018474678
documents,0.018258631
better,0.017072368
territory,0.015643628
604,0.014979703
error,0.0144081
september,0.014135133
receipt,0.011433422
intended,0.010819716
package,0.010549633
several,0.01029554
reserved,0.010240186
experience,0.009750309
portal,0.009246157
website,0.009098359
click,0.008144278
campus,0.0078120194
in,0.007762917
center,0.007269423
account,0.007253174
project,0.007037375
2022,0.007010698
between,0.007006992
can,0.0068413173
login,0.0068156035
16,0.00678895
what,0.006707802
interested,0.0066067837
confirm,0.0065340544
single,0.006332862
management,0.0061196364
centre,0.005828579
want,0.0058177207
unsubscribe,0.005655363
sent,0.0055899154
000,0.0053836415
supplier,0.0053559546
how,0.0052881585
transfer,0.0052242056
my,0.00518412
most,0.0051200204
at,0.004990949
