path,true,pred
/data/dataset/Legitimate_Email_Confirmed/005e76e01bda5d5024c255b62a4bcbb5/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/00656537473fb510072fbf12516d43f7/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/01b9a5281b4524d024c255b62a4bcb46/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/026e545f1b7ba0905edd43b4bd4bcb0d/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/02a178201b3928d027278556cc4bcb8d/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/03553fd01b51e01027278556cc4bcb8a/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/038e3747930e8ed0b90efd6e1dba1090/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/03c8c0e11bc8b0d05edd43b4bd4bcb8f/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/03fc17bb47b08e10840fb451516d4334/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/04874bda1b01f190ba8f539f034bcb0d/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0627d0361b425d1024c255b62a4bcb59/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0801bbe0879dbd10f2f90d47cebb35d0/0_Confirm your subscription to stay connected.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/081b34f51b23acd05edd43b4bd4bcbb0/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/086068a51b6b2cd05edd43b4bd4bcb7f/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/086ca77e474d96d0efc6767b416d436e/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/0896e60d47bc4a90efc6767b416d436e/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/08f107b6478d5210072fbf12516d4332/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/091e05071b38495024c255b62a4bcb23/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/09cef7ef47040a90efc6767b416d432f/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/09f2dbdb1bba5050b2eda8ecbc4bcb6c/12_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/09f2dbdb1bba5050b2eda8ecbc4bcb6c/2_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/09f2dbdb1bba5050b2eda8ecbc4bcb6c/3_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/09f2dbdb1bba5050b2eda8ecbc4bcb6c/4_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/09f2dbdb1bba5050b2eda8ecbc4bcb6c/8_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/09f2dbdb1bba5050b2eda8ecbc4bcb6c/9_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/0a1a26151b294110b2eda8ecbc4bcba3/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0ae1916747cdd610072fbf12516d4371/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0b13cd2e1b5e785045ad766f034bcb1f/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0bd33e8f47ef4250476eeaaf016d43ae/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/0beb9f251ba5c110b2eda8ecbc4bcbca/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0c99b68b1bcc05501cfdeac3b24bcb43/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0d4cb26f1b57b0501cfdeac3b24bcbfd/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0da105a91b52e45027278556cc4bcb43/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0da203601bb5e51027278556cc4bcb63/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0e0304311b4b60105edd43b4bd4bcbd9/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/0eb50a0f1bde609027278556cc4bcb03/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0eb50a0f1bde609027278556cc4bcb03/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0efb79da1b6d0910b2eda8ecbc4bcb4f/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0f330f901b79f1d00dbaec21b24bcb6f/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0fc3c5341bcd259045ad766f034bcb50/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/0feb22721bd768905edd43b4bd4bcbd9/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/11420d8c471c0a90072fbf12516d4391/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/119368391b62b1d027278556cc4bcbee/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/119b2a631b6b1890b2eda8ecbc4bcb90/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/11a971b1930cee10d557b2f17cba10be/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/11cd4dae47df8250efc6767b416d439d/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/11f8a8b047cb7110efc6767b416d43cc/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/122826681bbd68d027278556cc4bcbf8/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/12720b3f1b11a91045ad766f034bcbc8/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/12d2e1da1b290910b2eda8ecbc4bcb37/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/133cd11f1b2ae4501cfdeac3b24bcb12/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/13478f041bab185024c255b62a4bcb7d/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/136e18a81b19e01027278556cc4bcbe9/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/13bd237a478d92d0476eeaaf016d43e4/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1436c46c93b09a5436c870d74dba1067/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/14d9050193ea8290b90efd6e1dba1029/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/14e0fab21b1b68905edd43b4bd4bcb71/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1522be4a1bd58d1024c255b62a4bcbb2/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/152abe4947688a10efc6767b416d43b7/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/15de02631b271890b2eda8ecbc4bcb23/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/15f229441b3bdc90b2eda8ecbc4bcb39/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1766e30b1bb0695045ad766f034bcb13/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/17d8129e3b5866103363d334c3e45ae4/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/190ad1861b658510b2eda8ecbc4bcb44/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/192449591be23d9024c255b62a4bcb6f/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/1a571b5787493510f2f90d47cebb35e7/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1a98a5b4475c42d0476eeaaf016d4371/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1af5320687f7e150f2f90d47cebb35d6/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1c77fc4a1be71450b2eda8ecbc4bcbd2/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/1cafa6d51b8de8d024c255b62a4bcba0/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1cb02d131bd251d024c255b62a4bcb4f/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/1cd9ace79388029036c870d74dba10a5/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1d3e62fa1bd768905edd43b4bd4bcb67/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/1e1c15601bb168d027278556cc4bcb83/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1e8bcaa51bf06d1045ad766f034bcbf2/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1f35c45d939f46107295330efaba1052/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/1fad2c6c1b6764d05edd43b4bd4bcba4/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/20244c641b92b510048e0d87cc4bcbe2/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/208342ab1baea8501cfdeac3b24bcb47/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/218604b61b9359109068c992604bcb51/2_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/221b33ba1b987c109068c992604bcbd4/0_Welcome to UBC.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2365855a1b7a051045ad766f034bcbe1/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/243533ab1b80ac1424c255b62a4bcbb6/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/24390aa21b40951045ad766f034bcbd2/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2498b3261b103c109068c992604bcb3c/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/249d2875938086507295330efaba1062/0_message.eml,benign,malicious
"/data/dataset/Legitimate_Email_Confirmed/2573b24093e60e505a9f30edfaba104b/0_Action required: Review access by June 11, 2024.eml",benign,benign
/data/dataset/Legitimate_Email_Confirmed/2669956d1b382d1045ad766f034bcbbf/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2669956d1b382d1045ad766f034bcbbf/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/26d43a3b93ce8a140d60b9aefaba103a/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/26ff2bfb936e3d1036c870d74dba10cb/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/27432afc1be43c509068c992604bcb95/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/27a8fba493b48a9036c870d74dba1014/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/27db3a611b78b110ba8f539f034bcb0d/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/27dd43bc47210650d8618571516d43a9/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/28d7b68a933d1610d557b2f17cba107b/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2919e9c71b68e9105edd43b4bd4bcb31/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2939345d1b1649105edd43b4bd4bcba6/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2a30ecdf932e0ed05a9f30edfaba100c/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2a7105671b2bdd909068c992604bcb93/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2ad5893c1b02091027278556cc4bcb59/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2b399e171be7a4100dbaec21b24bcb69/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2b7556151bd0609424c255b62a4bcb67/1_message.eml,benign,malicious
"/data/dataset/Legitimate_Email_Confirmed/2b7734cd93575250b90efd6e1dba1085/0_Share your opinions on AI at UBC, earn a one in 10 chance to win a $100 Gift Card (Amazon or UBC.eml",benign,benign
/data/dataset/Legitimate_Email_Confirmed/2b94307347715210d8618571516d432d/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2bd9ce4f1bf974105edd43b4bd4bcb1b/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2c7e68711bf0bc105edd43b4bd4bcbce/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2cf695df1bd801d01cfdeac3b24bcbbc/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2d535e941b52d95024c255b62a4bcbbe/1_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/2e2a330f1b0a65d027278556cc4bcb76/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2e3034a81b87e85047cfffbf034bcb03/0_INC2184777message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/2e74496d1bde305045ad766f034bcbee/1_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/30029d2293e15a907295330efaba10b6/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/3054d0201b9f5950ba8f539f034bcb7d/0_message.eml,benign,benign
/data/dataset/Legitimate_Email_Confirmed/30ce48b71b8241105edd43b4bd4bcb3f/3_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/30fd493b1b4c49501cfdeac3b24bcbfc/0_message.eml,benign,malicious
/data/dataset/Legitimate_Email_Confirmed/3166378b938a8ed0b90efd6e1dba10ba/0_message.eml,benign,benign
