,weight
software,0.039811354
survey,0.031895213
staff,0.025802437
expiring,0.024020879
in,0.020817399
discrimination,0.015776366
hi,0.0131437015
plan,0.012302836
dmarc_result_none,0.012086206
to_from_addresses_match_True,0.011887731
invitation,0.011625191
been,0.011352572
delivery,0.011327839
url_present_in_subject_True,0.011309239
to,0.010708825
notice,0.010662815
with,0.010315196
notification,0.009907516
of,0.009800478
order,0.009732718
case,0.009708577
email,0.009626731
have,0.009509237
revenue,0.00950143
invoice,0.009501306
payment,0.009133223
this,0.009007109
important,0.008971095
ubc,0.0087891
his,0.008769354
need,0.0087075
phishing,0.00846303
re,0.008273817
package,0.008129579
free,0.008115439
grant,0.008104631
shipment,0.008071588
alert,0.0079844855
for,0.007978181
job,0.007685117
dkim_result_pass,0.0074835843
fw,0.007327651
message,0.007290994
account,0.0072474713
received,0.0072008395
shared,0.007173144
report,0.007138749
transfer,0.0071108867
available,0.0070610535
automatic,0.007026266
