path,target_1,target_2,target_3
/data/dataset/Self-Phishing/00b94d6c1bd6a81047cfffbf034bcb4e/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/8a059c101b942150ba8f539f034bcbf3/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/3276e13247ecc650072fbf12516d43cc/1_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/c645bd541bfc79500dbaec21b24bcb5b/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/881523b0479f7910efc6767b416d436d/0_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/5a44229c1bb8b9500dbaec21b24bcbe6/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/789db3804716ce14d8618571516d4362/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/21a3f2741b9bd054b2eda8ecbc4bcbab/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/369f33dd93e61a100d60b9aefaba1035/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_UBC_-_Outbound/ccacb6f147ad9650072fbf12516d4306/0_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_-_3rd_Party/5c51be9b93839e90b90efd6e1dba10e4/1_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/bc1454591bf8691045ad766f034bcb1c/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/5e3a59401b1a195024c255b62a4bcb6a/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Legitimate_Email_Confirmed/29342af21b5768905edd43b4bd4bcba6/1_message.eml,benign,legitimate,legitimate_email_confirmed
/data/dataset/Spam_–_Inbound/86e658211b462d9027278556cc4bcb1d/0_message.eml,benign,spam,inbound
/data/dataset/Self-Phishing/3bddce701bc6491027278556cc4bcb72/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Spam_–_Outbound/e43ce1b31b64e41024c255b62a4bcb89/0_message.eml,benign,spam,outbound
/data/dataset/Phishing_-_3rd_Party/0ab8f29f1b16f95081d2c8486b4bcba3/7_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/9d26c0f993cf8e105a9f30edfaba10b1/0_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/6b30e4cd1b3ce51045ad766f034bcb9d/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/79b22b311b76811045ad766f034bcb92/1_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_–_UBC/aa582be793cb4e500d60b9aefaba10be/0_message.eml,malicious,phishing,ubc
/data/dataset/Phishing_-_3rd_Party/0488dae647530650efc6767b416d4375/0_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/2c8c543b1beba8105edd43b4bd4bcb3f/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/31c9de981bf4b9500dbaec21b24bcba6/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/4898452d1b8889101cfdeac3b24bcb80/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Spam_–_Inbound/aca782b31b15691045ad766f034bcba2/0_message.eml,benign,spam,inbound
/data/dataset/Self-Phishing/bcfdd4051b3ce51045ad766f034bcb9c/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/e6646ddc87bcb910f2f90d47cebb3500/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/6f73fc091bfda91027278556cc4bcb2b/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/ecd2ba101b7c31509068c992604bcb13/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/53bda8681b3f15d09068c992604bcbf2/1_message.eml,malicious,phishing,third_party
/data/dataset/Legitimate_Email_Confirmed/a53e92bb47ba4a10d8618571516d43d7/0_Important: Fraud prevention steps.eml,benign,legitimate,legitimate_email_confirmed
/data/dataset/Self-Phishing/960b10b31beba8105edd43b4bd4bcbe6/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/ee01788d1b4ba51081d2c8486b4bcbb3/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_UBC_-_Outbound/55bab0e9334d8610565493123d5c7b36/0_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_-_3rd_Party/14cae7b21bd381d09068c992604bcb40/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/3b14a19a1bdb781024c255b62a4bcb86/1_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/e5cf05811bb5e91027278556cc4bcb31/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/2383a5031b6a34109068c992604bcba2/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/248d145c931e46145a9f30edfaba109e/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Spam_–_Outbound/904b75aa1b0174505edd43b4bd4bcb69/0_message.eml,benign,spam,outbound
/data/dataset/Self-Phishing/0f64e5db1bad301027278556cc4bcba3/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/fc5a6d8c1bc1d5501cfdeac3b24bcbc1/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_UBC_-_Outbound/867be6ea477fb590efc6767b416d4357/0_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_-_3rd_Party/3388248b477406105fb4b3bb116d43e6/1_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/c13a16bd93d30e1036c870d74dba1067/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/6a5d19771b38ed5045ad766f034bcb04/0_CONGRATULATIONS - YOU ARE ONE OF THE CPA'S 50 EARLY BIRD WINNERS___.eml,malicious,phishing,third_party
/data/dataset/Spam_–_Inbound/0c820a781bc2491027278556cc4bcb3b/0_message.eml,benign,spam,inbound
/data/dataset/Phishing_-_3rd_Party/0ccddbb11b554d1024c255b62a4bcb00/0_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/35728bc11b5be11027278556cc4bcb6c/0_message.eml,malicious,phishing,self_phishing
/data/dataset/CEO_Fraud_-_Gift_Cards/160187071b38295045ad766f034bcb55/0_message.eml,malicious,ceo_fraud,gift_cards
/data/dataset/Phishing_-_3rd_Party/b53e76961b264d509068c992604bcb51/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/a3acfbaf1bda651047cfffbf034bcb65/0_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/9d83db841b80e85024c255b62a4bcb46/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/419dd7d21b02991024c255b62a4bcbc3/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/f2c0d2ab1be711d09068c992604bcb83/0_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/65ba99c01b1a195024c255b62a4bcb07/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Spam_–_Inbound/1b661d681b98e150ba8f539f034bcb63/2_message.eml,benign,spam,inbound
/data/dataset/Spam_–_Inbound/cbe099ad478d0210d8618571516d4315/0_message.eml,benign,spam,inbound
/data/dataset/Self-Phishing/e164fb701b70e51045ad766f034bcb5a/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/e81648f21b9359109068c992604bcbe6/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/1032e8851bf9a91027278556cc4bcb90/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/8db808151b38691045ad766f034bcbca/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/3977b64d1bf851101cfdeac3b24bcba1/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/03aeef171bb6605047cfffbf034bcb75/4_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/1612a33c936f8a9036c870d74dba1045/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/e7e8e4e31bc8c5501cfdeac3b24bcbd9/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_–_UBC/1bb588154717c210072fbf12516d43fe/1_message.eml,malicious,phishing,ubc
/data/dataset/Phishing_-_3rd_Party/0ca5877f1b4e94505edd43b4bd4bcb4c/0_message.eml,malicious,phishing,third_party
