,weight
cc,0.041980043
search,0.02845387
survey,0.026208308
world,0.023622975
these,0.020333296
documents,0.017277882
discuss,0.017059803
test,0.016619345
territory,0.014971402
604,0.014474731
portal,0.014465259
september,0.014347516
more,0.01418107
would,0.013141087
center,0.012140655
several,0.011909328
receipt,0.01102267
campus,0.010686187
outlook,0.010642852
add,0.009604028
reserved,0.009090273
unsubscribe,0.0090269735
greetings,0.008082214
save,0.0078066573
messages,0.0078030676
deleted,0.0077300076
how,0.007589736
package,0.0073987
group,0.0073690754
hope,0.0072029694
error,0.006944176
in,0.0067655323
account,0.0067322413
links,0.0067247287
intended,0.006511565
what,0.0064264126
interested,0.0063932547
use,0.006365451
sincerely,0.0061232755
can,0.0059409835
sent,0.005790168
phone,0.0057291533
from,0.005725712
want,0.005215188
october,0.0051569464
dear,0.0051535913
pdf,0.0050327047
toll,0.0050205565
see,0.0049937335
website,0.004952971
centre,0.0049468917
click,0.0049164617
document,0.0048889597
most,0.004679502
projects,0.004618929
login,0.00459565
british,0.004509669
confirm,0.0043922747
internal_server_transfer_count,0.004373981
staff,0.004353156
2021,0.0043492364
important,0.0043355664
mail,0.004295383
others_content_count,0.004240452
subject,0.0040756497
supplier,0.004024808
48,0.0040218956
design,0.004001794
sign,0.003979598
hear,0.003846829
notice,0.0037703232
need,0.0037648603
invoice,0.0037284547
management,0.0037126648
thank,0.0036601108
be,0.0036521994
with,0.0036483805
this,0.0036447786
business,0.003540545
am,0.0034824547
through,0.0034779243
there,0.0034711922
update,0.0034659726
just,0.0034028064
are,0.0033805126
view,0.0033695723
open,0.0033484623
reply,0.0033129212
re,0.0032603894
minutes,0.003257483
order,0.0032556367
word_count,0.0032156259
my,0.0032142543
2024,0.003214203
date,0.0031859735
multiple,0.0031193534
please,0.0030755054
transaction,0.0030727135
us,0.0030620242
different_reply_domains_True,0.0030618377
assistance,0.0030365668
www,0.0030232973
text,0.0029607767
than,0.0029067164
back,0.0028822122
2022,0.0028739704
user,0.0028543752
link,0.0028492839
hyperlink_proportion,0.0027985147
digital,0.002774299
maximum,0.0027725154
empty_body_True,0.002715279
