path,target_1,target_2,target_3
/data/dataset/Self-Phishing/11a744b61b8c6cd024c255b62a4bcbbb/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/29e569061b5849901cfdeac3b24bcbaf/2_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/8a8fd0d01b582150ba8f539f034bcb0c/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_UBC_-_Outbound/3df1de011b2c29105edd43b4bd4bcbb7/0_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_UBC_-_Outbound/97a5ce8d1b2829105edd43b4bd4bcbff/1_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_-_3rd_Party/95c9d8bb1b9afc505edd43b4bd4bcb7d/1_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/f0d900021b05acd024c255b62a4bcb4e/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/d55454091b78e51045ad766f034bcb2b/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/cc25012c87747d10f2f90d47cebb359d/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_-_3rd_Party/5d08d7611bf1dd901cfdeac3b24bcb15/1_message.eml,malicious,phishing,third_party
/data/dataset/Spam_–_Inbound/b91e2a8c1bcc685024c255b62a4bcb92/1_message.eml,benign,spam,inbound
/data/dataset/Self-Phishing/730ae0c41b6f51509068c992604bcb11/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/e81ef2881bc4a85024c255b62a4bcb49/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_UBC_-_Outbound/4c9903801bae15d024c255b62a4bcb46/0_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_UBC_-_Outbound/0ed6f8511b5a519024c255b62a4bcb93/1_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Self-Phishing/78b280b61bc86cd024c255b62a4bcbe9/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Reply_Chain_Attack/1a5d1c6a87c23910f2f90d47cebb3534/0_message.eml,malicious,reply-chain-attack,reply-chain-attack
/data/dataset/Phishing_-_3rd_Party/536045fa1bccbcd05edd43b4bd4bcb5f/1_message.eml,malicious,phishing,third_party
/data/dataset/Spam_–_Inbound/d22434a5930416107295330efaba1070/0_message.eml,benign,spam,inbound
